year,sex,type_of_course,no_of_graduates
2011,Females,Architecture & Building,247
2011,Females,Engineering Sciences,1215
2011,Females,Services,50
2012,Males,Education,116
2012,Males,Applied Arts,102
2012,Males,Humanities & Social Sciences,737
2012,Males,Mass Communication,37
2012,Males,Accountancy,447
2012,Males,Business & Administration,572
2012,Males,Law,140
2012,Males,Natural Physical & Mathematical Sciences,837
2012,Males,Medicine,129
2012,Males,Dentistry,21
2012,Males,Health Sciences,61
2012,Males,Information Technology,484
2012,Males,Architecture & Building,155
2012,Males,Engineering Sciences,2870
2012,Males,Services,28
2012,Females,Education,526
2012,Females,Applied Arts,139
2012,Females,Humanities & Social Sciences,1494
2012,Females,Mass Communication,133
2012,Females,Accountancy,589
2012,Females,Business & Administration,825
2012,Females,Law,207
2012,Females,Natural Physical & Mathematical Sciences,1074
2012,Females,Medicine,123
2012,Females,Dentistry,21
2012,Females,Health Sciences,218
2012,Females,Information Technology,280
2012,Females,Architecture & Building,241
2012,Females,Engineering Sciences,1210
2012,Females,Services,34
2013,Males,Education,167
2013,Males,Applied Arts,172
2013,Males,Humanities & Social Sciences,818
2013,Males,Mass Communication,62
2013,Males,Accountancy,399
2013,Males,Business & Administration,693
2013,Males,Law,189
2013,Males,Natural Physical & Mathematical Sciences,870
2013,Males,Medicine,134
2013,Males,Dentistry,21
2013,Males,Health Sciences,95
2013,Males,Information Technology,542
2013,Males,Architecture & Building,143
2013,Males,Engineering Sciences,3346
2013,Males,Services,134
2013,Females,Education,422
2013,Females,Applied Arts,164
2013,Females,Humanities & Social Sciences,1766
2013,Females,Mass Communication,100
2013,Females,Accountancy,688
2013,Females,Business & Administration,897
2013,Females,Law,179
2013,Females,Natural Physical & Mathematical Sciences,1257
2013,Females,Medicine,124
2013,Females,Dentistry,27
2013,Females,Health Sciences,296
2013,Females,Information Technology,250
2013,Females,Architecture & Building,258
2013,Females,Engineering Sciences,1344
2013,Females,Services,398
2014,Males,Education,124
2014,Males,Applied Arts,165
2014,Males,Humanities & Social Sciences,803
2014,Males,Mass Communication,44
2014,Males,Accountancy,473
2014,Males,Business & Administration,631
2014,Males,Law,180
2014,Males,Natural Physical & Mathematical Sciences,786
2014,Males,Medicine,134
2014,Males,Dentistry,15
2014,Males,Health Sciences,124
2014,Males,Information Technology,708
2014,Males,Architecture & Building,146
2014,Males,Engineering Sciences,3288
2014,Males,Services,135
2014,Females,Education,401
2014,Females,Applied Arts,229
2014,Females,Humanities & Social Sciences,1619
2014,Females,Mass Communication,114
2014,Females,Accountancy,649
